geoid10,lon,lat,Pop2014,Pov14,community
17031420100,       -87.5774016,        41.7834164,1224,494,42
17031420400,       -87.6035575,        41.7831695,1216,568,42
17031420500,       -87.6084262,        41.7831003,2099,953,42
17031470100,       -87.5964896,        41.7282208,2618,836,47
17031480100,       -87.5756026,        41.7352478,2045,279,48
17031691000,       -87.6200151,        41.7619654,2703,710,69
17031691300,       -87.6198475,        41.7546812,2842,327,69
17031242300,       -87.6796000,        41.8995064,3003,181,24
17031411100,       -87.5897018,        41.7904493,2246,154,41
17031460400,       -87.5636924,        41.7444907,3154,603,46
17031681200,       -87.6384973,        41.7691892,2375,1101,68
17031690500,       -87.6121077,        41.7681653,952,321,69
17031241400,       -87.6753114,        41.9060239,5238,821,24
17031241500,       -87.6709377,        41.9083761,2881,376,24
17031241600,       -87.6653283,        41.9067100,3438,536,24
17031242000,       -87.6649538,        41.8997372,4786,902,24
17031243300,       -87.6647382,        41.8924779,2353,295,24
17031491200,       -87.6374383,        41.6887765,2746,599,49
17031710800,       -87.6488119,        41.7478364,4917,381,71
17031711300,       -87.6672852,        41.7335043,1580,436,71
17031010202,       -87.6733224,        42.0160507,2502,688,1
17031480200,       -87.5898834,        41.7351234,1157,252,48
17031480300,       -87.5879739,        41.7291949,1192,291,48
17031480400,       -87.5756383,        41.7284496,6106,714,48
17031480500,       -87.5590500,        41.7275503,2900,498,48
17031691100,       -87.6298715,        41.7617133,3209,1673,69
17031691200,       -87.6321808,        41.7544390,2975,1275,69
17031691400,       -87.6101681,        41.7548453,2716,598,69
17031691500,       -87.6002990,        41.7550432,2124,1025,69
17031700100,       -87.6953091,        41.7535931,3486,804,70
17031410700,       -87.5941976,        41.7980397,1959,453,41
17031410800,       -87.5896261,        41.7979597,3201,741,41
17031410900,       -87.5766591,        41.7978743,2923,607,41
17031411000,       -87.5768734,        41.7907158,3313,465,41
17031411200,       -87.5940174,        41.7905558,1691,289,41
17031530600,       -87.6189952,        41.6703911,2872,1108,53
17031460100,       -87.5357425,        41.7461567,3614,1004,46
17031460200,       -87.5470112,        41.7413869,2626,949,46
17031460500,       -87.5726043,        41.7468819,4798,626,46
17031460600,       -87.5595147,        41.7356329,1107,385,46
