,ID.org,Latitude,Longitude
315,RR8684,40.75565788,-73.98835358
316,C4175,40.66479663,-73.98576485
317,N312,40.85366048,-73.88519637
318,A688,40.76066,-73.960349
319,A545,40.68070454,-73.95484261
320,RR8394,40.73917444,-73.99764767
321,DI610,40.85378475,-73.92821745
322,DI2634,40.632089,-73.898382
323,C92,40.70775205,-74.00558544
324,RR2937,40.688491,-73.803577
325,RR9207,40.66007562,-73.88348531
326,RR4701,40.78541086,-73.94167599
327,141,40.61788659,-74.02986888
328,RR4659,40.876918,-73.830136
329,DI3673,40.822405,-73.923686
330,N57,40.5873244,-73.80106468
331,DI1471,40.674361,-73.813156
332,RR9075,40.69082443,-73.99090896
333,DI1210,40.62976102,-73.92456914
334,RR4134,40.69620706,-73.83765318
335,RR9254,40.69178093,-73.9909977
336,RR2665,40.75618981,-73.9980858
