id,x,y,id
261118924,-87.6342152,41.842572,261118924
261118925,-87.6341804,41.841128,261118925
261118926,-87.6341415,41.8396796,261118926
261118928,-87.6340668,41.8363601,261118928
261118929,-87.6340217,41.8345594,261118929
261118932,-87.6318773,41.7508222,261118932
261118933,-87.6318371,41.749014,261118933
261118934,-87.6317881,41.747189,261118934
261118936,-87.6317377,41.7456298,261118936
261119772,-87.5884027,41.7942573,261119772
261119773,-87.5895917,41.7942406,261119773
261119775,-87.5916638,41.7944904,261119775
261120515,-87.62794,41.8382788,261120515
261120516,-87.6289589,41.8382611,261120516
261120522,-87.6328911,41.8382125,261120522
261120524,-87.6363671,41.8381659,261120524
261120528,-87.6377497,41.8381514,261120528
261120529,-87.6389663,41.8381356,261120529
261120530,-87.6402001,41.8381195,261120530
261120535,-87.6450568,41.8380565,261120535
261121124,-87.6359486,41.7441635,261121124
261122082,-87.6267096,41.7709286,261122082
261122084,-87.6283238,41.7709057,261122084
261122086,-87.6372871,41.7707734,261122086
261122087,-87.6386704,41.7707491,261122087
261122089,-87.6402526,41.7707187,261122089
261122090,-87.6409615,41.7707079,261122090
261122091,-87.6417224,41.7706983,261122091
261122092,-87.6432029,41.7706775,261122092
261122093,-87.6445543,41.7706591,261122093
261122094,-87.6457658,41.7706388,261122094
261122095,-87.6469815,41.7706229,261122095
261122096,-87.6481931,41.770607,261122096
261122097,-87.6494214,41.7705909,261122097
261122098,-87.6506183,41.7705753,261122098
261122099,-87.6518447,41.7705592,261122099
261122100,-87.6530427,41.7705436,261122100
261122101,-87.6542559,41.7705277,261122101
261122469,-87.5820719,41.7934406,261122469
261122470,-87.5820429,41.792666,261122470
261122472,-87.5823025,41.7996446,261122472
261122473,-87.5822834,41.7981621,261122473
261122474,-87.5825338,41.7952441,261122474
261122476,-87.5824923,41.7934383,261122476
261122477,-87.5826631,41.7969473,261122477
261124269,-87.6247384,41.8201332,261124269
261124273,-87.6198921,41.8201955,261124273
261124276,-87.6184545,41.8202159,261124276
261124277,-87.6166281,41.8202418,261124277
261124279,-87.6134134,41.8202874,261124279
261124280,-87.6117955,41.8203103,261124280
261124281,-87.6097495,41.8203393,261124281
261124283,-87.6094934,41.8203429,261124283
261124287,-87.6052425,41.8205087,261124287
261124289,-87.604446,41.8200645,261124289
261124290,-87.6026586,41.8200857,261124290
261124291,-87.6017435,41.8200959,261124291
261124292,-87.6008855,41.8201075,261124292
261124294,-87.6000064,41.8203637,261124294
261126781,-87.5844501,41.7533243,261126781
261126782,-87.5833487,41.753339,261126782
261126783,-87.582136,41.7533528,261126783
261126784,-87.5809035,41.7533664,261126784
261126785,-87.5796922,41.7533834,261126785
261126786,-87.5784651,41.7533981,261126786
261126787,-87.5772463,41.7534116,261126787
261126788,-87.5760291,41.753429,261126788
261126789,-87.5747996,41.7534427,261126789
261126790,-87.5735793,41.7534538,261126790
261126791,-87.5723591,41.7534674,261126791
261126792,-87.5711544,41.7534839,261126792
261126793,-87.5699174,41.7534975,261126793
261126794,-87.568689,41.7535069,261126794
261126795,-87.5674717,41.7535207,261126795
261126796,-87.5662818,41.7535413,261126796
261126797,-87.5650588,41.7535581,261126797
261126798,-87.5638505,41.7535728,261126798
261126799,-87.5614186,41.7536071,261126799
261126800,-87.5599534,41.7536236,261126800
261126801,-87.5584767,41.7536433,261126801
261126803,-87.595526,41.7531964,261126803
261126804,-87.5943132,41.7532174,261126804
261126805,-87.5930917,41.7532346,261126805
261126806,-87.5918517,41.7532144,261126806
261126807,-87.6245949,41.7527757,261126807
261126808,-87.6230284,41.7528037,261126808
261126809,-87.6214071,41.7528369,261126809
261126810,-87.6198101,41.752863,261126810
261126811,-87.6181835,41.7528846,261126811
261126812,-87.6165903,41.7529196,261126812
261126813,-87.6150021,41.7529404,261126813
261126814,-87.6137607,41.7529599,261126814
261126815,-87.6125407,41.7529846,261126815
261126816,-87.6113305,41.7530083,261126816
261126817,-87.6101134,41.7530258,261126817
261126818,-87.6089264,41.7530451,261126818
261126819,-87.6076914,41.753067,261126819
261126820,-87.6064989,41.7530819,261126820
261126821,-87.6052542,41.7531017,261126821
261126822,-87.6040113,41.7531203,261126822
261126823,-87.6027948,41.7531315,261126823
261126824,-87.6015982,41.7531491,261126824
261126825,-87.6003804,41.7531616,261126825
261126826,-87.5991715,41.753167,261126826
261126827,-87.5979509,41.7531778,261126827
261126828,-87.5973702,41.7531869,261126828
261126829,-87.5570208,41.7536605,261126829
261126830,-87.5555386,41.7536819,261126830
261126832,-87.5541992,41.7536972,261126832
261126833,-87.5529159,41.7544731,261126833
261126834,-87.551591,41.75528,261126834
261126992,-87.6177511,41.8020861,261126992
261126993,-87.6176975,41.798443,261126993
261126994,-87.6176494,41.7966263,261126994
261126995,-87.617622,41.7956287,261126995
261126997,-87.6175507,41.7929764,261126997
261126998,-87.6175142,41.7911513,261126998
261126999,-87.6174707,41.7893277,261126999
261127000,-87.6174183,41.7875022,261127000
261127001,-87.6173887,41.7856844,261127001
261127002,-87.6173129,41.7838643,261127002
261127004,-87.6172451,41.7802114,261127004
261127032,-87.6182272,41.8365799,261127032
261127033,-87.6181894,41.8347568,261127033
261127035,-87.61813,41.8311061,261127035
261127039,-87.6185484,41.823823,261127039
261127041,-87.6185226,41.8220592,261127041
261127044,-87.618415,41.8184241,261127044
261127045,-87.6183451,41.8166132,261127045
261127047,-87.6183117,41.8148092,261127047
261127048,-87.6182498,41.812992,261127048
261127050,-87.6182025,41.8111764,261127050
261127051,-87.6181564,41.8093608,261127051
261127053,-87.6181182,41.8075417,261127053
261127054,-87.6180679,41.8057249,261127054
261127055,-87.6180169,41.8039015,261127055
261127056,-87.6179765,41.8020824,261127056
261127061,-87.6180363,41.8274767,261127061
261127063,-87.6182524,41.8256418,261127063
261127064,-87.6182064,41.8238275,261127064
261127085,-87.6183969,41.831103,261127085
261127087,-87.6183341,41.8274724,261127087
261127097,-87.6170053,41.7711285,261127097
261127098,-87.6169694,41.7693138,261127098
261127100,-87.6169461,41.7684081,261127100
261127101,-87.6169163,41.7674965,261127101
261127103,-87.6168865,41.7665671,261127103
261127105,-87.6168769,41.7656851,261127105
261127106,-87.6168271,41.7638567,261127106
261127108,-87.6167912,41.7620375,261127108
261127109,-87.6167506,41.7602011,261127109
261127111,-87.6167081,41.7583774,261127111
261127112,-87.6166797,41.7565572,261127112
261127114,-87.6166199,41.7547411,261127114
261127115,-87.6165387,41.7510888,261127115
261127117,-87.6164425,41.7474419,261127117
261127118,-87.6163978,41.7456147,261127118
261127120,-87.6163369,41.7437856,261127120
261127121,-87.6162832,41.7419581,261127121
261127123,-87.616239,41.7401358,261127123
261127549,-87.6348352,41.7714587,261127549
261127550,-87.6372958,41.7714288,261127550
261128989,-87.5553261,41.7518812,261128989
261128991,-87.5552647,41.748255,261128991
261128993,-87.5552248,41.746427,261128993
261128996,-87.5551802,41.7446029,261128996
261129031,-87.5551987,41.7442707,261129031
261129032,-87.5551667,41.742797,261129032
261129033,-87.5551272,41.7409803,261129033
261129034,-87.5551132,41.7391585,261129034
261129036,-87.5555118,41.7518786,261129036
261130664,-87.6166869,41.8226307,261130664
261132605,-87.5728242,41.7734906,261132605
261132606,-87.5727765,41.771655,261132606
261132607,-87.5727294,41.7698427,261132607
261132609,-87.572682,41.7680181,261132609
261132610,-87.5725951,41.766102,261132610
261132611,-87.5725726,41.7653199,261132611
261132613,-87.5725494,41.7643804,261132613
261132615,-87.5725333,41.7634559,261132615
261132616,-87.5725176,41.7625598,261132616
261132617,-87.5724861,41.7607506,261132617
261132618,-87.5724641,41.7589237,261132618
261132620,-87.5724224,41.7570967,261132620
261132621,-87.5723907,41.755282,261132621
261132622,-87.5723274,41.7516549,261132622
261132624,-87.5722642,41.7480283,261132624
