,BLOCKID10,POP10,CE01_2014,long,lat
54929,170311904012012,71,7,-87.78425329999999,41.9337619
54930,170311801001016,62,5,-87.79531,41.9354441
54931,170311104002017,63,4,-87.7743653,41.9688245
54932,170311104002016,39,5,-87.77647059999998,41.968774200000006
54933,170311505022007,63,8,-87.77907359999999,41.9575847
54934,170311506004015,62,6,-87.7729911,41.949682
54941,170311105012013,31,6,-87.7669367,41.976995200000005
54942,170311001002019,0,-1,-87.78201259999999,41.9916275
54955,170311906012010,104,8,-87.7846863,41.9282688
54956,170311906013022,23,2,-87.7775489,41.924026899999994
54957,170311710005011,25,1,-87.8023205,41.9428515
54958,170311007002013,55,9,-87.7934135,41.971078600000006
54959,170311007003011,74,9,-87.7958396,41.971068700000004
54960,170311711003008,32,6,-87.78588909999999,41.942464
54961,170311711001008,83,13,-87.7825398,41.9445589
54963,170311003004012,60,7,-87.802934,41.9911088
54964,170310903001034,0,-1,-87.8101974,41.997372399999996
54965,170311003004015,243,34,-87.8008132,41.99149179999999
54966,170311711002014,55,8,-87.7823675,41.939980799999994
54967,170311904011016,49,5,-87.78435479999999,41.9367402
54968,170311512003006,39,6,-87.77521209999999,41.9441804
54970,170310902003015,0,-1,-87.8145423,42.0020896
54971,170310902002024,24,1,-87.81067409999999,42.0020561
54972,170311006001015,63,5,-87.7899139,41.9801595
54973,170311103001010,17,3,-87.7850453,41.9817749
55006,170312505004007,52,8,-87.7952243,41.9135702
55007,170312504004003,105,10,-87.7774232,41.9119606
55008,170311913013014,160,33,-87.78075940000001,41.9195775
55009,170312505002023,34,3,-87.7887132,41.910331799999994
55010,170311006001000,1,-1,-87.7892948,41.982703
55075,170312506003019,0,-1,-87.7747446,41.9021921
55076,170311912001013,0,-1,-87.75790759999998,41.9213455
55077,170312507004008,107,6,-87.7642563,41.90667979999999
55080,170311504023012,69,11,-87.7742293,41.959247399999995
55081,170311504023014,70,3,-87.77301899999999,41.959268200000004
55082,170311503007009,22,0,-87.7659088,41.9668876
55083,170311104001036,8,1,-87.7706683,41.9714533
55084,170311507004017,52,1,-87.7656608,41.9497709
55085,170311507004002,81,7,-87.76543249999999,41.952475
55086,170311507004005,94,8,-87.7654213,41.9520255
55087,170311507003018,1,0,-87.7664772,41.946793
55088,170310901003008,30,3,-87.81943079999999,42.014579100000006
55139,170318312002031,0,-1,-87.7320616,41.9136874
55140,170312511002011,17,1,-87.7494849,41.8952236
55141,170311611001014,17,2,-87.74057579999999,41.9519569
55144,170311302001008,0,-1,-87.735228,41.9866667
55149,170311404002003,57,5,-87.73530579999999,41.9745477
55150,170311611001002,43,3,-87.7364374,41.9526474
55196,170311602003003,42,5,-87.7366495,41.9599343
55197,170311603002004,27,2,-87.73130019999999,41.9551189
55202,170312104001015,164,13,-87.7311571,41.9356253
55203,170312207013005,100,12,-87.7253137,41.927012299999994
55204,170312307003007,33,2,-87.7233085,41.9051669
55222,170311911001011,93,7,-87.74839370000001,41.9214808
55223,170311910002015,36,6,-87.7458397,41.9183091
55224,170312508001007,56,7,-87.7531582,41.9083787
55225,170311508003007,73,25,-87.75329559999999,41.9471946
55226,170311508002013,75,4,-87.7509035,41.9481364
55238,170311909001004,55,2,-87.7435718,41.929787100000006
55239,170312305002007,26,1,-87.7401783,41.9106484
55240,170312305002004,0,-1,-87.7384687,41.9122808
55256,170311405003009,59,7,-87.72879859999999,41.963303700000004
55257,170311406011007,120,12,-87.72521359999999,41.9655419
55258,170311303004003,139,10,-87.714753,41.9857191
55259,170311301003021,56,1,-87.71808,41.994642999999996
55260,170311301001017,34,6,-87.7205838,41.9961515
55262,170311406023003,129,7,-87.72221590000001,41.967625
55263,170311604003017,49,4,-87.7272498,41.9597045
55264,170311604003023,6,0,-87.72622270000001,41.9576049
55265,170311604002033,44,1,-87.7220821,41.9539724
55266,170311609001023,66,6,-87.72232840000001,41.9509973
55268,170311502001008,46,31,-87.7535365,41.9572166
55269,170311510011002,363,35,-87.7543922,41.94375
55270,170311903001008,125,12,-87.76033829999999,41.9379729
55271,170311202001036,0,-1,-87.7659735,41.998632
55272,170311201004008,72,5,-87.7812951,42.010642700000005
55273,170311201001010,76,9,-87.777239,42.0100229
55278,170311105015019,33,8,-87.7575479,41.9776377
55279,170311105013011,12,6,-87.75622129999999,41.9754656
55280,170312511001007,86,7,-87.75173740000001,41.8995453
55281,170311902001013,94,6,-87.7529508,41.9371509
55282,170318078001033,21,2,-87.7669934,42.004745899999996
55283,170311202001001,202,39,-87.7642588,42.006994799999994
55292,170312003002012,79,6,-87.7349982,41.923219200000005
55293,170318421005012,0,-1,-87.73128309999998,41.8933834
55294,170312004021009,109,8,-87.7317892,41.9182419
55295,170318421001022,87,6,-87.73725920000001,41.8990644
55296,170312510001033,79,2,-87.74737979999999,41.8961633
55297,170311611002015,0,-1,-87.7356798,41.9472624
55298,170311612002022,8,0,-87.7376605,41.939183299999996
55299,170311612002006,45,5,-87.73682020000001,41.9403597
55305,170311203003001,37,3,-87.73920140000001,41.987305799999994
55306,170311203002026,40,1,-87.73217170000001,41.991217600000006
55307,170311203002020,77,3,-87.7343431,41.9895031
55308,170311203002021,118,10,-87.73557640000001,41.9882402
55338,170311404005041,98,9,-87.74443640000001,41.9691032
55352,170311404003006,81,24,-87.73648670000001,41.9727081
55353,170311301002020,421,26,-87.7264891,41.9843748
55354,170311302001011,35,3,-87.7315337,41.9845785
55355,170311610001005,81,8,-87.7320306,41.952653399999996
55356,170311603001011,108,2,-87.730513,41.956355
55364,170318318005010,139,8,-87.7109679,41.98191370000001
55365,170311402003000,21,0,-87.7143109,41.971053399999995
55366,170311609002014,26,5,-87.7234391,41.9475052
55411,170312304002009,38,1,-87.7233432,41.911935299999996
55417,170311406023012,0,-1,-87.7236191,41.9637516
55418,170311402002009,36,3,-87.7143478,41.969854299999994
55419,170311604001012,47,6,-87.72255909999998,41.958285499999995
55454,170312003002014,60,10,-87.7337782,41.9232331
55455,170312001001018,0,-1,-87.73372309999999,41.9319213
55456,170318311003024,40,3,-87.7261048,41.9397935
55458,170311406011026,94,10,-87.7263681,41.96372
55459,170311301003039,29,3,-87.7144311,41.9910526
55468,170311910001005,84,9,-87.7447388,41.9230908
55469,170311908001007,128,10,-87.7502137,41.9298988
55470,170311902004005,71,6,-87.75523299999999,41.9325598
55471,170311910002000,0,-1,-87.74169690000001,41.918924700000005
55480,170312002003012,0,-1,-87.7378002,41.9246343
55481,170311902004009,113,4,-87.7481905,41.9322018
55482,170311901001023,102,15,-87.7450687,41.9324675
55483,170311901001025,0,-1,-87.7462958,41.93244910000001
55484,170311902003015,87,7,-87.7503652,41.933539700000004
55485,170311902003007,116,6,-87.7503944,41.934448100000004
55486,170312510001003,80,6,-87.7474473,41.9016419
55487,170318421005015,0,-1,-87.72703299999999,41.895577
55488,170318421005014,9,0,-87.72793859999999,41.8955511
55489,170312004021015,33,4,-87.7308475,41.917340100000004
55490,170312306001007,0,-1,-87.7270235,41.9072295
55491,170311610002007,50,2,-87.7334067,41.9472099
55492,170311612002005,33,5,-87.7367727,41.9396598
55493,170311613003003,30,4,-87.7343568,41.941274299999996
55494,170311613004017,73,2,-87.7343667,41.942179700000004
55513,170312207023001,97,7,-87.7229801,41.930716600000004
55514,170312105012017,215,11,-87.722581,41.9364718
55515,170312105012008,273,17,-87.72435259999999,41.9375723
55516,170312315005019,67,4,-87.71923249999999,41.8901524
55517,170318312001002,110,10,-87.7250118,41.9160433
55518,170312229001005,0,-1,-87.7237379,41.916110100000004
55519,170312312004012,89,3,-87.7222589,41.8999679
55520,170312512004022,92,6,-87.76228309999999,41.8996734
55521,170312508001011,76,4,-87.75127540000001,41.906832
55522,170311502005008,71,4,-87.75410790000001,41.9585814
55523,170311508003008,101,14,-87.75086590000001,41.9472179
55524,170311508003016,13,0,-87.7508495,41.9463078
55525,170311510022006,46,6,-87.74661640000001,41.9454039
55526,170311903001009,50,2,-87.75820329999999,41.938004799999995
55527,170311202001014,63,6,-87.7671334,42.003421
55528,170311101001003,116,8,-87.763301,41.986301
55529,170311202003023,18,1,-87.7555468,41.9923726
55530,170311202004020,0,-1,-87.7509568,41.9838276
55535,170312510001006,79,6,-87.7474398,41.900731
55536,170312306005002,193,9,-87.7349636,41.9045665
