,Other Health Providers,Federally Qualified Health Centers,All Free Health Clinics,Hospitals,School-Based Health Centers
170310201001020,0.0,4.0,0.0,1.0,0.0
170310201001021,0.0,4.0,0.0,1.0,0.0
170310201001022,0.0,4.0,0.0,1.0,0.0
170310201001023,0.0,4.0,0.0,1.0,0.0
170310201001024,0.0,4.0,0.0,1.0,0.0
170310201001025,0.0,4.0,0.0,1.0,0.0
170310201002000,0.0,4.0,0.0,1.0,0.0
170310201002001,0.0,4.0,0.0,1.0,0.0
170310201002002,0.0,3.0,0.0,1.0,0.0
170310201002003,0.0,3.0,0.0,1.0,0.0
170310201002004,0.0,3.0,0.0,1.0,0.0
170310201002005,0.0,3.0,0.0,1.0,0.0
170310201002006,0.0,3.0,0.0,1.0,0.0
170310201002007,0.0,3.0,0.0,1.0,0.0
170310201002008,0.0,3.0,0.0,1.0,0.0
170310202001000,0.0,2.0,1.0,1.0,0.0
170310202001001,0.0,1.0,1.0,1.0,0.0
170310202001002,0.0,1.0,1.0,0.0,0.0
170310202001003,0.0,1.0,1.0,0.0,0.0
170310202001004,0.0,1.0,1.0,0.0,0.0
170310202001005,0.0,2.0,1.0,1.0,0.0
170310202001006,0.0,1.0,1.0,0.0,0.0
170310202001007,0.0,1.0,1.0,0.0,0.0
170310202001008,0.0,1.0,1.0,0.0,0.0
170310202001009,0.0,1.0,1.0,0.0,0.0
170310202001010,0.0,1.0,1.0,0.0,0.0
170310202001011,0.0,1.0,1.0,0.0,0.0
170310202001012,0.0,1.0,1.0,0.0,0.0
170310202001013,0.0,1.0,1.0,0.0,0.0
170310202001014,0.0,2.0,1.0,1.0,0.0
170310202001015,0.0,1.0,1.0,0.0,0.0
170310202001016,0.0,1.0,1.0,0.0,0.0
170310202001017,0.0,1.0,1.0,0.0,0.0
170310202001018,0.0,1.0,1.0,0.0,0.0
170310202001019,0.0,1.0,1.0,0.0,0.0
170310202001020,0.0,1.0,1.0,0.0,0.0
170310202001021,0.0,1.0,1.0,0.0,0.0
170310202002000,0.0,3.0,0.0,1.0,0.0
170310202002001,0.0,3.0,0.0,1.0,0.0
170310202002002,0.0,3.0,1.0,1.0,0.0
170310202002003,0.0,3.0,1.0,1.0,0.0
170310202002004,0.0,2.0,1.0,1.0,0.0
170310202002005,0.0,2.0,1.0,1.0,0.0
170310202002006,0.0,2.0,1.0,1.0,0.0
170310202002007,0.0,2.0,1.0,1.0,0.0
170310202002008,0.0,2.0,1.0,1.0,0.0
170310202002009,0.0,3.0,0.0,1.0,0.0
170310202002010,0.0,2.0,1.0,1.0,0.0
170310202002011,0.0,3.0,0.0,1.0,0.0
170310202002012,0.0,3.0,0.0,1.0,0.0
170310202002013,0.0,3.0,1.0,1.0,0.0
170310202002014,0.0,2.0,1.0,1.0,0.0
170310202003000,0.0,2.0,1.0,1.0,0.0
170310202003001,0.0,1.0,0.0,1.0,0.0
170310202003002,0.0,0.0,0.0,1.0,0.0
170310202003003,0.0,0.0,0.0,0.0,0.0
170310202003004,0.0,0.0,0.0,0.0,0.0
170310202003005,0.0,0.0,0.0,1.0,0.0
170310202003006,0.0,1.0,0.0,1.0,0.0
170310202003007,0.0,2.0,1.0,1.0,0.0
170310202003008,0.0,1.0,1.0,1.0,0.0
170310202003009,0.0,1.0,0.0,1.0,0.0
170310202003010,0.0,1.0,0.0,0.0,0.0
170310202003011,0.0,0.0,0.0,0.0,0.0
170310202003012,0.0,2.0,1.0,1.0,0.0
170310202003013,0.0,2.0,1.0,1.0,0.0
170310202003014,0.0,2.0,1.0,1.0,0.0
170310202003015,0.0,1.0,1.0,1.0,0.0
170310202003016,0.0,1.0,1.0,0.0,0.0
170310202003017,0.0,1.0,0.0,0.0,0.0
170310202003018,0.0,1.0,0.0,0.0,0.0
170310202003019,0.0,1.0,1.0,0.0,0.0
170310202003020,0.0,1.0,1.0,1.0,0.0
170310202003021,0.0,2.0,1.0,1.0,0.0
170310202003022,0.0,2.0,1.0,1.0,0.0
170310202003023,0.0,1.0,1.0,1.0,0.0
170310202003024,0.0,1.0,1.0,0.0,0.0
170310202003025,0.0,1.0,0.0,0.0,0.0
170310202003026,0.0,1.0,0.0,0.0,0.0
170310202003027,0.0,1.0,0.0,0.0,0.0
170310202003028,0.0,2.0,1.0,1.0,0.0
170310202003029,0.0,2.0,1.0,1.0,0.0
170310202003030,0.0,1.0,1.0,1.0,0.0
170310202003031,0.0,1.0,1.0,0.0,0.0
170310202003032,0.0,1.0,1.0,0.0,0.0
170310202003033,0.0,1.0,0.0,0.0,0.0
170310202003034,0.0,1.0,0.0,0.0,0.0
170310202003035,0.0,1.0,1.0,0.0,0.0
170310202003036,0.0,1.0,1.0,0.0,0.0
170310202003037,0.0,1.0,1.0,0.0,0.0
170310202003038,0.0,2.0,1.0,1.0,0.0
170310202003039,0.0,2.0,1.0,1.0,0.0
170310202004000,0.0,3.0,0.0,1.0,0.0
170310202004001,0.0,3.0,0.0,1.0,0.0
170310202004002,0.0,3.0,0.0,1.0,0.0
